cohort,outcome,outcome_type,model,status,reason,source_col,age_col,n_total,n_used,n_positive,prevalence,threshold_share,beta_g,SE_beta_g,p_value_beta_g,odds_ratio_g,beta_g_sq,SE_beta_g_sq,p_value_g_sq,beta_threshold,SE_beta_threshold,p_value_threshold,odds_ratio_threshold,fit_stat,mean_outcome,source_data
nlsy79,log_annual_earnings,continuous,linear,computed,,annual_earnings,age_2000,5475,5475,,,0.2,1.0399137847855928,0.0494378889357905,1.5948200700474904e-94,,,,,,,,,0.0750979060748932,7.820520684755677,data/processed/nlsy79_cfa_resid.csv
nlsy79,log_annual_earnings,continuous,quadratic,computed,,annual_earnings,age_2000,5475,5475,,,0.2,1.0218149147046363,0.04948504528081241,2.791642264668126e-91,,-0.20199486683340387,0.04229993185442486,1.841185694461584e-06,,,,,0.07893695787912725,7.820520684755677,data/processed/nlsy79_cfa_resid.csv
nlsy79,log_annual_earnings,continuous,top_quintile_threshold,computed,,annual_earnings,age_2000,5475,5475,,,0.2,,,,,,,,1.5125357621391677,0.12634716446715125,1.28027725696136e-32,,0.025824756401605198,7.820520684755677,data/processed/nlsy79_cfa_resid.csv
nlsy79,log_household_income,continuous,linear,computed,,household_income,age_2000,4736,4736,,,0.20016891891891891,0.7265978979511877,0.0273020045910773,1.5212912527890073e-145,,,,,,,,,0.1309059596797234,10.260816556324926,data/processed/nlsy79_cfa_resid.csv
nlsy79,log_household_income,continuous,quadratic,computed,,household_income,age_2000,4736,4736,,,0.20016891891891891,0.712424867771294,0.027339047933981928,5.2880296180026e-140,,-0.1277973181540883,0.02319686722821024,3.794578658111522e-08,,,,,0.13644494357493098,10.260816556324926,data/processed/nlsy79_cfa_resid.csv
nlsy79,log_household_income,continuous,top_quintile_threshold,computed,,household_income,age_2000,4736,4736,,,0.20016891891891891,,,,,,,,1.0540678574941544,0.07132789317408668,2.4011139112538032e-48,,0.044918144131131266,10.260816556324926,data/processed/nlsy79_cfa_resid.csv
nlsy79,employment_2000,binary,linear,computed,,employment_2000,age_2000,5781,5781,4752,0.8220031136481578,0.20013838436256703,0.5312772119389937,0.0365844072091167,8.796179184480907e-48,1.7011035915457366,,,,,,,,0.04152329647664432,0.8220031136481578,data/processed/nlsy79_cfa_resid.csv
nlsy79,employment_2000,binary,quadratic,computed,,employment_2000,age_2000,5781,5781,4752,0.8220031136481578,0.20013838436256703,0.4984739680159767,0.03805712403181979,3.3784297658065095e-39,1.6462071880814375,-0.07043551721559967,0.029974147338814833,0.018779686695190277,,,,,0.042526571707030114,0.8220031136481578,data/processed/nlsy79_cfa_resid.csv
nlsy79,employment_2000,binary,top_quintile_threshold,computed,,employment_2000,age_2000,5781,5781,4752,0.8220031136481578,0.20013838436256703,,,,,,,,0.6880223553288276,0.10143449297405795,1.1776841401671226e-11,1.9897765685629851,0.009729856820485328,0.8220031136481578,data/processed/nlsy79_cfa_resid.csv
nlsy79,ba_or_more_explicit,binary,linear,computed,,highest_degree_ever,age_2000,5794,5794,1423,0.24559889540904384,0.20003451846738005,1.345527462452249,0.043976419884335066,1.359686089809733e-205,3.8402115739024048,,,,,,,,0.20504666350650136,0.24559889540904384,data/processed/nlsy79_cfa_resid.csv
